Conference,School,Abbr,Team,Color,Lat,Long,K,Logo,,ESPN
,Idaho St.,,,#ff6600 ,42.870354,-112.428582,0,https://upload.wikimedia.org/wikipedia/en/thumb/6/63/Idaho_State_Bengals_logo.svg/1200px-Idaho_State_Bengals_logo.svg.png,,
,Alabama St.,,,#C99700 ,32.364849,-86.290321,0,https://upload.wikimedia.org/wikipedia/en/thumb/7/7f/Alabama_State_Hornets_logo.svg/1200px-Alabama_State_Hornets_logo.svg.png,,
,Ark.-Pine Bluff,,,#FDB913,34.25462,-92.02125,0,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Arkansas%E2%80%93Pine_Bluff_Golden_Lions_wordmark.svg/1200px-Arkansas%E2%80%93Pine_Bluff_Golden_Lions_wordmark.svg.png,,
,Houston Baptist,,,#10069F,29.695108,-95.51666,0,https://upload.wikimedia.org/wikipedia/en/thumb/b/b8/Houston_Baptist_Huskies_logo.svg/1200px-Houston_Baptist_Huskies_logo.svg.png,,
,Tennessee St.,,,#00539F,36.168464,-86.826907,0,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Tennessee_State_Tigers_wordmark.svg/1200px-Tennessee_State_Tigers_wordmark.svg.png,,
,Duquesne,,,#041E42 ,40.435752,-79.990005,0,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Duquesne_Dukes_logo.svg/1200px-Duquesne_Dukes_logo.svg.png,,
,Texas Southern,,,#72263D ,29.75232,-95.352522,0,https://banner2.kisspng.com/20180511/ure/kisspng-texas-southern-university-texas-southern-tigers-fo-5af60d10d696a9.130050711526074640879.jpg,,
,McNeese St.,,,#00529b,30.17646,-93.174104,0,https://upload.wikimedia.org/wikipedia/en/thumb/f/f7/McNeese_State_Athletics_logo.svg/1200px-McNeese_State_Athletics_logo.svg.png,,
,Gardner-Webb,,,#bf2f37,35.245743,-81.673544,0,https://cdn.herosports.com/upload/school/school-logo/gardner-webb-logo.png,,
,N.C. Central,,,#6D2C3E ,35.974109,-78.896976,0,http://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2428.png,,
,Illinois St.,,,#ce1126 ,40.512713,-88.996675,0,https://cdn.herosports.com/upload/school/school-logo/illinois-state-logo.png,,
,Maine,,,#B0D7FF ,,,0,http://content.sportslogos.net/logos/32/738/full/d9hffxnbekh1wlckvnge.gif,,
,Southern Utah,,,#C41424,,,0,https://i.pinimg.com/originals/f7/71/b4/f771b4d8844e5a573add804d1420e53d.png,,
,Prairie View,,,#4f2582,,,0,https://cdn.herosports.com/upload/school/school-logo/prairie-view-am-logo.png,,
,Eastern Wash.,,,#FF0000 ,,,0,http://a.espncdn.com/combiner/i?img=%2Fi%2Fteamlogos%2Fncaa%2F500%2F331.png,,
,UNI,,,#470A68,,,0,https://upload.wikimedia.org/wikipedia/en/thumb/8/86/Northern_Iowa_Panters_logo.svg/1200px-Northern_Iowa_Panters_logo.svg.png,,
,Delaware St.,,,#72CDF4 ,,,0,https://upload.wikimedia.org/wikipedia/en/thumb/d/db/Delaware_State_Hornets_logo.svg/1200px-Delaware_State_Hornets_logo.svg.png,,
,Alabama A&M,,,#862633,,,0,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Alabama_A%26M_Bulldogs_logo.svg/2000px-Alabama_A%26M_Bulldogs_logo.svg.png,,
,Bethune-Cookman,,,#800001,,,0,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Bethune%E2%80%93Cookman_Wildcats_logo.svg/1200px-Bethune%E2%80%93Cookman_Wildcats_logo.svg.png,,
,New Hampshire,,,#003591 ,,,0,https://upload.wikimedia.org/wikipedia/en/thumb/6/62/New_Hampshire_Wildcats_logo.svg/1200px-New_Hampshire_Wildcats_logo.svg.png,,
,Wofford,,,#886E4C ,,,0,https://upload.wikimedia.org/wikipedia/en/thumb/5/5b/Wofford_Terriers_logo.svg/1200px-Wofford_Terriers_logo.svg.png,,
,Eastern Ky.,,,#4c151e,,,0,http://www.championshipsubdivision.com/images/teamlogos/eastern-kentucky.png,,
,Lehigh,,,#8b4513,,,0,https://upload.wikimedia.org/wikipedia/en/thumb/6/65/LehighMountainHawks.svg/1200px-LehighMountainHawks.svg.png,,
,UC Davis,,,#000E2F,,,0,https://upload.wikimedia.org/wikipedia/en/thumb/1/13/UC_Davis_Aggies_logo.svg/1200px-UC_Davis_Aggies_logo.svg.png,,
,Rhode Island,,,#68abe8 ,,,0,https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Rhode_Island_Rams_logo.svg/1200px-Rhode_Island_Rams_logo.svg.png,,
,Murray St.,,,#ECAC00,,,0,https://upload.wikimedia.org/wikipedia/en/thumb/c/c9/Murray_State_Racers_logo.svg/1200px-Murray_State_Racers_logo.svg.png,,
,Tennessee Tech,,,#4F2984 ,,,0,https://upload.wikimedia.org/wikipedia/en/thumb/f/f8/Tennessee_Tech_Golden_Eagles_logo.svg/1200px-Tennessee_Tech_Golden_Eagles_logo.svg.png,,
,Campbell,,,#EA7125,,,0,https://upload.wikimedia.org/wikipedia/en/thumb/8/84/Campbell_Fighting_Camels_logo.svg/1200px-Campbell_Fighting_Camels_logo.svg.png,,
,Sacramento St.,,,#043927,,,0,https://upload.wikimedia.org/wikipedia/en/thumb/6/61/Sacramento_State_Hornets_logo.svg/1200px-Sacramento_State_Hornets_logo.svg.png,,
,Nicholls St.,,,#862633,,,0,https://upload.wikimedia.org/wikipedia/en/thumb/b/bb/Nicholls_State_Colonels_logo.svg/1200px-Nicholls_State_Colonels_logo.svg.png,,
,Incarnate Word,,,#CB333B,,,0,https://upload.wikimedia.org/wikipedia/en/thumb/e/ea/Incarnate_Word_Cardinals_logo.svg/1200px-Incarnate_Word_Cardinals_logo.svg.png,,
,Western Ill.,,,#663399,,,0,http://a.espncdn.com/i/teamlogos/ncaa/500/2710.png,,
,Samford,,,#002649,,,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQZA0vM_iuEX1zPzQ0KB1o8tqdOgt81bozGG_FNsmLF9ZufsxP6ag,,
,Savannah St.,,,#FFFFFF,,,0,https://banner2.kisspng.com/20180320/btw/kisspng-area-trademark-symbol-brand-sign-error-5ab0d7e1e44023.2850921615215390419349.jpg,,
,Weber St.,,,#FFFFFF,,,0,https://banner2.kisspng.com/20180320/btw/kisspng-area-trademark-symbol-brand-sign-error-5ab0d7e1e44023.2850921615215390419349.jpg,,
,Missouri St.,,,#FFFFFF,,,0,https://banner2.kisspng.com/20180320/btw/kisspng-area-trademark-symbol-brand-sign-error-5ab0d7e1e44023.2850921615215390419349.jpg,,
,Southeastern La.,,,#FFFFFF,,,0,https://banner2.kisspng.com/20180320/btw/kisspng-area-trademark-symbol-brand-sign-error-5ab0d7e1e44023.2850921615215390419349.jpg,,
,Northwestern St.,,,#FFFFFF,,,0,https://banner2.kisspng.com/20180320/btw/kisspng-area-trademark-symbol-brand-sign-error-5ab0d7e1e44023.2850921615215390419349.jpg,,
,Monmouth,,,#FFFFFF,,,0,https://banner2.kisspng.com/20180320/btw/kisspng-area-trademark-symbol-brand-sign-error-5ab0d7e1e44023.2850921615215390419349.jpg,,
,Portland St.,,,#FFFFFF,,,0,https://banner2.kisspng.com/20180320/btw/kisspng-area-trademark-symbol-brand-sign-error-5ab0d7e1e44023.2850921615215390419349.jpg,,
,James Madison,,,#FFFFFF,,,0,https://banner2.kisspng.com/20180320/btw/kisspng-area-trademark-symbol-brand-sign-error-5ab0d7e1e44023.2850921615215390419349.jpg,,
,Villanova,,,#00205b ,,,0,https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Villanova_Wildcats_logo.svg/2000px-Villanova_Wildcats_logo.svg.png,,
,Southern U.,,,#FFFFFF,,,0,https://banner2.kisspng.com/20180320/btw/kisspng-area-trademark-symbol-brand-sign-error-5ab0d7e1e44023.2850921615215390419349.jpg,,
,Furman,,,#FFFFFF,,,0,https://banner2.kisspng.com/20180320/btw/kisspng-area-trademark-symbol-brand-sign-error-5ab0d7e1e44023.2850921615215390419349.jpg,,
,Alcorn St.,,,#FFFFFF,,,0,https://banner2.kisspng.com/20180320/btw/kisspng-area-trademark-symbol-brand-sign-error-5ab0d7e1e44023.2850921615215390419349.jpg,,
,Howard,,,#FFFFFF,,,0,https://banner2.kisspng.com/20180320/btw/kisspng-area-trademark-symbol-brand-sign-error-5ab0d7e1e44023.2850921615215390419349.jpg,,
,Stony Brook,,,#FFFFFF,,,0,https://banner2.kisspng.com/20180320/btw/kisspng-area-trademark-symbol-brand-sign-error-5ab0d7e1e44023.2850921615215390419349.jpg,,
,Austin Peay,,,#FFFFFF,,,0,https://banner2.kisspng.com/20180320/btw/kisspng-area-trademark-symbol-brand-sign-error-5ab0d7e1e44023.2850921615215390419349.jpg,,
,Albany (NY),,,#FFFFFF,,,0,https://banner2.kisspng.com/20180320/btw/kisspng-area-trademark-symbol-brand-sign-error-5ab0d7e1e44023.2850921615215390419349.jpg,,
,UT Martin,,,#FFFFFF,,,0,https://banner2.kisspng.com/20180320/btw/kisspng-area-trademark-symbol-brand-sign-error-5ab0d7e1e44023.2850921615215390419349.jpg,,
,Eastern Ill.,,,#FFFFFF,,,0,https://banner2.kisspng.com/20180320/btw/kisspng-area-trademark-symbol-brand-sign-error-5ab0d7e1e44023.2850921615215390419349.jpg,,
,Elon,,,#FFFFFF,,,0,https://banner2.kisspng.com/20180320/btw/kisspng-area-trademark-symbol-brand-sign-error-5ab0d7e1e44023.2850921615215390419349.jpg,,
,Fordham,,,#FFFFFF,,,0,https://banner2.kisspng.com/20180320/btw/kisspng-area-trademark-symbol-brand-sign-error-5ab0d7e1e44023.2850921615215390419349.jpg,,
,South Carolina St.,,,#FFFFFF,,,0,https://banner2.kisspng.com/20180320/btw/kisspng-area-trademark-symbol-brand-sign-error-5ab0d7e1e44023.2850921615215390419349.jpg,,
,Richmond,,,#FFFFFF,,,0,https://banner2.kisspng.com/20180320/btw/kisspng-area-trademark-symbol-brand-sign-error-5ab0d7e1e44023.2850921615215390419349.jpg,,
,Jackson St.,,,#FFFFFF,,,0,https://banner2.kisspng.com/20180320/btw/kisspng-area-trademark-symbol-brand-sign-error-5ab0d7e1e44023.2850921615215390419349.jpg,,
,Grambling,,,#FFFFFF,,,0,https://banner2.kisspng.com/20180320/btw/kisspng-area-trademark-symbol-brand-sign-error-5ab0d7e1e44023.2850921615215390419349.jpg,,
,Central Ark.,,,#FFFFFF,,,0,https://banner2.kisspng.com/20180320/btw/kisspng-area-trademark-symbol-brand-sign-error-5ab0d7e1e44023.2850921615215390419349.jpg,,
,South Dakota,,,#FFFFFF,,,0,https://banner2.kisspng.com/20180320/btw/kisspng-area-trademark-symbol-brand-sign-error-5ab0d7e1e44023.2850921615215390419349.jpg,,
,Mercer,,,#FFFFFF,,,0,https://banner2.kisspng.com/20180320/btw/kisspng-area-trademark-symbol-brand-sign-error-5ab0d7e1e44023.2850921615215390419349.jpg,,
,VMI,,,#FFFFFF,,,0,https://banner2.kisspng.com/20180320/btw/kisspng-area-trademark-symbol-brand-sign-error-5ab0d7e1e44023.2850921615215390419349.jpg,,
,Southeast Mo. St.,,,#FFFFFF,,,0,https://banner2.kisspng.com/20180320/btw/kisspng-area-trademark-symbol-brand-sign-error-5ab0d7e1e44023.2850921615215390419349.jpg,,
,Northern Ariz.,,,#003466,,,0,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Northern_Arizona_Athletics_logo.svg/1200px-Northern_Arizona_Athletics_logo.svg.png,,
,Stephen F. Austin,,,#FFFFFF,,,0,https://banner2.kisspng.com/20180320/btw/kisspng-area-trademark-symbol-brand-sign-error-5ab0d7e1e44023.2850921615215390419349.jpg,,
,Charleston So.,,,#FFFFFF,,,0,https://banner2.kisspng.com/20180320/btw/kisspng-area-trademark-symbol-brand-sign-error-5ab0d7e1e44023.2850921615215390419349.jpg,,
,Abilene Christian,,,#FFFFFF,,,0,https://banner2.kisspng.com/20180320/btw/kisspng-area-trademark-symbol-brand-sign-error-5ab0d7e1e44023.2850921615215390419349.jpg,,
,South Dakota St.,,,#FFFFFF,,,0,https://banner2.kisspng.com/20180320/btw/kisspng-area-trademark-symbol-brand-sign-error-5ab0d7e1e44023.2850921615215390419349.jpg,,
,N.C. A&T,,,#004684 ,,,0,https://cdn.bleacherreport.net/images/team_logos/328x328/north_carolina_at_basketball.png,,
,Townson,,,#FFFFFF,,,0,https://banner2.kisspng.com/20180320/btw/kisspng-area-trademark-symbol-brand-sign-error-5ab0d7e1e44023.2850921615215390419349.jpg,,
,Holy Cross,,,#FFFFFF,,,0,https://banner2.kisspng.com/20180320/btw/kisspng-area-trademark-symbol-brand-sign-error-5ab0d7e1e44023.2850921615215390419349.jpg,,
,William & Mary,,,#FFFFFF,,,0,https://banner2.kisspng.com/20180320/btw/kisspng-area-trademark-symbol-brand-sign-error-5ab0d7e1e44023.2850921615215390419349.jpg,,
,Wagner,,,#FFFFFF,,,0,https://banner2.kisspng.com/20180320/btw/kisspng-area-trademark-symbol-brand-sign-error-5ab0d7e1e44023.2850921615215390419349.jpg,,
,Morgan St.,,,#FFFFFF,,,0,https://banner2.kisspng.com/20180320/btw/kisspng-area-trademark-symbol-brand-sign-error-5ab0d7e1e44023.2850921615215390419349.jpg,,
,Howard,,,#FFFFFF,,,0,https://banner2.kisspng.com/20180320/btw/kisspng-area-trademark-symbol-brand-sign-error-5ab0d7e1e44023.2850921615215390419349.jpg,,
,Southern Ill.,,,#FFFFFF,,,0,https://banner2.kisspng.com/20180320/btw/kisspng-area-trademark-symbol-brand-sign-error-5ab0d7e1e44023.2850921615215390419349.jpg,,
,Lamar,,,#FFFFFF,,,0,https://banner2.kisspng.com/20180320/btw/kisspng-area-trademark-symbol-brand-sign-error-5ab0d7e1e44023.2850921615215390419349.jpg,,
,East Tenn. St.,,,#FFFFFF,,,0,https://banner2.kisspng.com/20180320/btw/kisspng-area-trademark-symbol-brand-sign-error-5ab0d7e1e44023.2850921615215390419349.jpg,,
,North Dakota,,,#FFFFFF,,,0,https://banner2.kisspng.com/20180320/btw/kisspng-area-trademark-symbol-brand-sign-error-5ab0d7e1e44023.2850921615215390419349.jpg,,
,Youngstown St.,,,#FFFFFF,,,0,https://banner2.kisspng.com/20180320/btw/kisspng-area-trademark-symbol-brand-sign-error-5ab0d7e1e44023.2850921615215390419349.jpg,,
,South Carolina St.,,,#FFFFFF,,,0,https://banner2.kisspng.com/20180320/btw/kisspng-area-trademark-symbol-brand-sign-error-5ab0d7e1e44023.2850921615215390419349.jpg,,
,Indiana St.,,,#FFFFFF,,,0,https://banner2.kisspng.com/20180320/btw/kisspng-area-trademark-symbol-brand-sign-error-5ab0d7e1e44023.2850921615215390419349.jpg,,
,Florida A&M,,,#FFFFFF,,,0,https://banner2.kisspng.com/20180320/btw/kisspng-area-trademark-symbol-brand-sign-error-5ab0d7e1e44023.2850921615215390419349.jpg,,
,Towson,,,#FFFFFF,,,0,https://banner2.kisspng.com/20180320/btw/kisspng-area-trademark-symbol-brand-sign-error-5ab0d7e1e44023.2850921615215390419349.jpg,,
