Conference,School,Abbr,Team,Color,Lat,Long,K,Logo,,ESPN
Big 12,Kansas St.,KSU,Wildcats,#512888 ,39.202004,-96.593843,1,https://cdn.bleacherreport.net/images/team_logos/328x328/kansas_state_football.png,,http://espn.go.com/college-football/team/_/id/2306/kansas-St.-wildcats
MAC,Kent St.,KENT,Golden Flashes,#EAAB00 ,41.13908,-81.313426,1,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/2309.gif,,http://espn.go.com/college-football/team/_/id/2309/kent-St.-golden-flashes
SEC,Kentucky,UK,Wildcats,#0033a0 ,38.02276,-84.505169,1,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/96.gif,,http://espn.go.com/college-football/team/_/id/96/kentucky-wildcats
Sun Belt,Louisiana,LALA,Ragin Cajuns,#ce181e ,30.215866,-92.041726,1,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/309.gif,,http://espn.go.com/college-football/team/_/id/309/louisiana-lafayette-ragin-cajuns
Conference USA,Louisiana Tech,LATC,Bulldogs,#E31B23 ,32.532127,-92.655922,1,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/2348.gif,,http://espn.go.com/college-football/team/_/id/2348/louisiana-tech-bulldogs
ACC,Louisville,LOU,Cardinals,#FDD023 ,38.205903,-85.758789,1,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/97.gif,,http://espn.go.com/college-football/team/_/id/97/louisville-cardinals
SEC,LSU,LSU,Tigers,#FDD023 ,30.412032,-91.183799,1,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/99.gif,,http://espn.go.com/college-football/team/_/id/99/lsu-tigers
Conference USA,Marshall,Mar,Thundering Herd,#AD0000,38.424953,-82.42094,1,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/276.gif,,http://espn.go.com/college-football/team/_/id/276/marshall-thundering-herd
Big Ten,Maryland,MARY,Terrapins,#E03a3e,38.990274,-76.947233,1,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/120.gif,,http://espn.go.com/college-football/team/_/id/120/maryland-terrapins
American,Memphis,MEM,Tigers,#003087 ,35.1211,-89.977413,1,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/235.gif,,http://espn.go.com/college-football/team/_/id/235/memphis-tigers
MAC,Miami (OH),MIOH,Redhawks,#b61e2e ,39.519535,-84.732942,1,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/193.gif,,http://espn.go.com/college-football/team/_/id/2390/miami-fl-hurricanes
ACC,Miami (FL),MIA,Hurricanes,#005030 ,25.957927,-80.238836,2,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/2390.gif,,http://espn.go.com/college-football/team/_/id/193/miami-oh-redhawks
Big Ten,Michigan St.,MSU,Spartans,#18453B ,42.728163,-84.484862,1,https://cdn.bleacherreport.net/images/team_logos/328x328/michigan_state_football.png,,http://espn.go.com/college-football/team/_/id/127/michigan-St.-spartans
Big Ten,Michigan,MICH,Wolverines,#ffcb05 ,42.26587,-83.748727,1,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/130.gif,,http://espn.go.com/college-football/team/_/id/130/michigan-wolverines
